Gene stable ID	Transcript stable ID
ENSG00000143257	ENST00000508740
ENSG00000143257	ENST00000367982
ENSG00000143257	ENST00000506018
ENSG00000143257	ENST00000511676
ENSG00000143257	ENST00000367981
ENSG00000143257	ENST00000515621
ENSG00000143257	ENST00000367979
ENSG00000143257	ENST00000506209
ENSG00000111424	ENST00000549336
ENSG00000111424	ENST00000395324
ENSG00000111424	ENST00000550325
ENSG00000111424	ENST00000229022
ENSG00000278570	ENST00000621736
ENSG00000278570	ENST00000617575
ENSG00000278570	ENST00000621098
ENSG00000198963	ENST00000376896
ENSG00000198963	ENST00000396204
ENSG00000112033	ENST00000337400
ENSG00000112033	ENST00000311565
ENSG00000112033	ENST00000360694
ENSG00000112033	ENST00000448077
ENSG00000112033	ENST00000418635
ENSG00000123358	ENST00000545748
ENSG00000123358	ENST00000550082
ENSG00000123358	ENST00000394824
ENSG00000123358	ENST00000360284
ENSG00000123358	ENST00000243050
ENSG00000169083	ENST00000374690
ENSG00000169083	ENST00000396043
ENSG00000169083	ENST00000612452
ENSG00000204231	ENST00000374685
ENSG00000204231	ENST00000374680
ENSG00000082175	ENST00000325455
ENSG00000082175	ENST00000534013
ENSG00000082175	ENST00000528960
ENSG00000082175	ENST00000534780
ENSG00000082175	ENST00000526300
ENSG00000082175	ENST00000263463
ENSG00000082175	ENST00000619228
ENSG00000082175	ENST00000617858
ENSG00000228333	ENST00000455462
ENSG00000228333	ENST00000415157
ENSG00000228333	ENST00000451068
ENSG00000228333	ENST00000451068
ENSG00000169297	ENST00000378970
ENSG00000116833	ENST00000367362
ENSG00000116833	ENST00000236914
ENSG00000116833	ENST00000544748
ENSG00000012504	ENST00000548884
ENSG00000012504	ENST00000392986
ENSG00000012504	ENST00000549996
ENSG00000012504	ENST00000551379
ENSG00000012504	ENST00000188403
ENSG00000091831	ENST00000338799
ENSG00000091831	ENST00000206249
ENSG00000091831	ENST00000406599
ENSG00000091831	ENST00000427531
ENSG00000091831	ENST00000415488
ENSG00000091831	ENST00000440973
ENSG00000091831	ENST00000443427
ENSG00000119508	ENST00000395097
ENSG00000119508	ENST00000330847
ENSG00000119508	ENST00000618101
ENSG00000151623	ENST00000344721
ENSG00000151623	ENST00000358102
ENSG00000151623	ENST00000512865
ENSG00000151623	ENST00000511528
ENSG00000151623	ENST00000625323
ENSG00000126351	ENST00000394121
ENSG00000126351	ENST00000584985
ENSG00000126351	ENST00000264637
ENSG00000126351	ENST00000450525
ENSG00000126351	ENST00000546243
ENSG00000126368	ENST00000246672
ENSG00000231321	ENST00000456244
ENSG00000231321	ENST00000431820
ENSG00000231321	ENST00000428813
ENSG00000231321	ENST00000428813
ENSG00000235712	ENST00000431161
ENSG00000235712	ENST00000415909
ENSG00000235712	ENST00000415668
ENSG00000235712	ENST00000415668
ENSG00000177463	ENST00000425241
ENSG00000177463	ENST00000323373
ENSG00000177463	ENST00000393102
ENSG00000177463	ENST00000439011
ENSG00000177463	ENST00000413194
ENSG00000177463	ENST00000617312
ENSG00000177463	ENST00000406272
ENSG00000132170	ENST00000397010
ENSG00000132170	ENST00000309576
ENSG00000132170	ENST00000397026
ENSG00000132170	ENST00000287820
ENSG00000140009	ENST00000556275
ENSG00000140009	ENST00000554572
ENSG00000140009	ENST00000358599
ENSG00000140009	ENST00000555278
ENSG00000140009	ENST00000553796
ENSG00000140009	ENST00000557772
ENSG00000140009	ENST00000341099
ENSG00000140009	ENST00000353772
ENSG00000206289	ENST00000383217
ENSG00000206289	ENST00000383216
ENSG00000206289	ENST00000441299
ENSG00000206289	ENST00000441299
ENSG00000196482	ENST00000366937
ENSG00000196482	ENST00000408911
ENSG00000196482	ENST00000360012
ENSG00000196482	ENST00000361395
ENSG00000196482	ENST00000366938
ENSG00000196482	ENST00000359162
ENSG00000196482	ENST00000493603
ENSG00000196482	ENST00000463665
ENSG00000196482	ENST00000487276
ENSG00000196482	ENST00000475275
ENSG00000196482	ENST00000616180
ENSG00000196482	ENST00000391890
ENSG00000196482	ENST00000361525
ENSG00000175745	ENST00000327111
ENSG00000175745	ENST00000615873
ENSG00000136931	ENST00000373588
ENSG00000136931	ENST00000373587
ENSG00000136931	ENST00000620110
ENSG00000131759	ENST00000254066
ENSG00000131759	ENST00000394089
ENSG00000131759	ENST00000425707
ENSG00000131759	ENST00000394086
ENSG00000131759	ENST00000394081
ENSG00000131759	ENST00000475125
ENSG00000148200	ENST00000487099
ENSG00000148200	ENST00000373584
ENSG00000148200	ENST00000416460
ENSG00000148200	ENST00000344523
ENSG00000186350	ENST00000481739
ENSG00000160113	ENST00000291442
ENSG00000160113	ENST00000596878
ENSG00000172819	ENST00000425354
ENSG00000172819	ENST00000338561
ENSG00000172819	ENST00000543726
ENSG00000172819	ENST00000394426
ENSG00000101076	ENST00000316673
ENSG00000101076	ENST00000609795
ENSG00000101076	ENST00000457232
ENSG00000101076	ENST00000443598
ENSG00000101076	ENST00000316099
ENSG00000101076	ENST00000415691
ENSG00000101076	ENST00000619550
ENSG00000119715	ENST00000512784
ENSG00000119715	ENST00000505752
ENSG00000119715	ENST00000380887
ENSG00000119715	ENST00000556177
ENSG00000119715	ENST00000509242
ENSG00000131408	ENST00000598168
ENSG00000131408	ENST00000411902
ENSG00000131408	ENST00000253727
ENSG00000131408	ENST00000599105
ENSG00000131408	ENST00000593926
ENSG00000113580	ENST00000394464
ENSG00000113580	ENST00000415690
ENSG00000113580	ENST00000504572
ENSG00000113580	ENST00000394466
ENSG00000113580	ENST00000231509
ENSG00000113580	ENST00000503201
ENSG00000113580	ENST00000343796
ENSG00000113580	ENST00000424646
